Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
acetylglutamate kinase	arginine biosynthetic process via ornithine // phosphorylation // cellular amino acid biosynthetic process // arginine biosynthetic process	cytoplasm	transferase activity // kinase activity // ATP binding // acetylglutamate kinase activity // nucleotide binding	argB	L-arginine biosynthesis II (acetyl cycle)	WP_011862519.1	WP_011862519.1		PF00696
DUF1651 domain-containing protein		integral component of membrane // membrane		P9301_RS16655		WP_011863530.1	WP_011863530.1		PF07864
ribonuclease III	"RNA phosphodiester bond hydrolysis, endonucleolytic // RNA phosphodiester bond hydrolysis // nucleic acid phosphodiester bond hydrolysis // rRNA catabolic process // tRNA processing // mRNA processing // RNA processing // rRNA processing"	cytoplasm	metal ion binding // rRNA binding // hydrolase activity // ribonuclease III activity // endonuclease activity // nuclease activity // RNA binding	rnc		WP_011863706.1	WP_011863706.1		PF14622
FtsQ-type POTRA domain-containing protein	cell division			P9301_RS16185		WP_011863424.1	WP_011863424.1		PF08478
NUDIX hydrolase			ADP-ribose diphosphatase activity // hydrolase activity	P9301_RS10610		WP_011862326.1	WP_011862326.1		PF00293
lactoylglutathione lyase			metal ion binding // lyase activity // lactoylglutathione lyase activity	gloA	methylglyoxal degradation I	WP_011862668.1	WP_011862668.1		PF00903
adenylyl-sulfate kinase	hydrogen sulfide biosynthetic process // phosphorylation // sulfate assimilation	integral component of membrane // membrane	transferase activity // kinase activity // ATP binding // adenylylsulfate kinase activity // nucleotide binding	cysC	sulfate activation for sulfonation	WP_011862211.1	WP_011862211.1		PF01583
Possible COMC family		integral component of membrane // membrane		P9301_RS12870		WP_011862765.1	WP_011862765.1		
aspartate carbamoyltransferase	'de novo' UMP biosynthetic process // cellular amino acid metabolic process // pyrimidine nucleotide biosynthetic process // 'de novo' pyrimidine nucleobase biosynthetic process		carboxyl- or carbamoyltransferase activity // transferase activity // amino acid binding // aspartate carbamoyltransferase activity	pyrB	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	WP_011862276.1	WP_011862276.1		PF02729
Membrane GTPase LepA	translation	membrane // plasma membrane	hydrolase activity // GTP binding // GTPase activity // nucleotide binding	lepA		WP_011862440.1	WP_011862440.1		PF00009
type IV pilus twitching motility protein PilT			ATP binding	P9301_RS12475		WP_011862679.1	WP_011862679.1		PF00437
"cob(I)yrinic acid a,c-diamide adenosyltransferase"	cobalamin biosynthetic process		"transferase activity // cob(I)yrinic acid a,c-diamide adenosyltransferase activity // ATP binding"	P9301_RS17425	adenosylcobalamin salvage from cobalamin	WP_011863672.1	WP_011863672.1		PF02572
VHS domain-containing protein				P9301_RS12410		WP_011862667.1	WP_011862667.1		PF07878
SufE family protein				P9301_RS14595		WP_011863111.1	WP_011863111.1		PF02657
DUF2997 domain-containing protein				P9301_RS16960		WP_011863589.1	WP_011863589.1		PF11211
50S ribosomal protein L24	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplX		WP_011863653.1	WP_011863653.1		PF00467
FKBP-type peptidyl-prolyl cis-trans isomerase	protein peptidyl-prolyl isomerization		isomerase activity // peptidyl-prolyl cis-trans isomerase activity	P9301_RS16100		WP_011863408.1	WP_011863408.1		PF00254
circadian clock protein KaiC	"rhythmic process // regulation of circadian rhythm // phosphorylation // circadian rhythm // protein phosphorylation // regulation of transcription, DNA-templated"		metal ion binding // transferase activity // kinase activity // ATP binding // protein serine/threonine/tyrosine kinase activity // protein serine/threonine kinase activity // DNA binding // magnesium ion binding // nucleotide binding	kaiC		WP_144038833.1	WP_144038833.1		PF06745
glycine oxidase			flavin adenine dinucleotide binding // oxidoreductase activity	thiO	superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II	WP_011862078.1	WP_011862078.1		PF01266
methionyl-tRNA formyltransferase	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA // charged-tRNA amino acid modification // biosynthetic process // translational initiation // translation		"hydroxymethyl-, formyl- and related transferase activity // transferase activity // methionyl-tRNA formyltransferase activity // catalytic activity"	fmt		WP_011862992.1	WP_011862992.1		PF00551
hypothetical protein				P9301_RS11045		WP_011862409.1	WP_011862409.1		
ornithine carbamoyltransferase	ornithine metabolic process // cellular amino acid metabolic process	cytoplasm	carboxyl- or carbamoyltransferase activity // transferase activity // amino acid binding // ornithine carbamoyltransferase activity	argF	L-arginine biosynthesis II (acetyl cycle) // urea cycle // L-citrulline degradation	WP_011863380.1	WP_011863380.1		PF02729
uracil phosphoribosyltransferase			"transferase activity, transferring glycosyl groups // transferase activity // uracil phosphoribosyltransferase activity"	upp	superpathway of pyrimidine nucleobases salvage // pyrimidine nucleobases salvage I	WP_011862812.1	WP_011862812.1		PF14681
Possible Helper component proteinase		integral component of membrane // membrane		P9301_RS10930		WP_011862380.1	WP_011862380.1		
DUF3143 domain-containing protein				P9301_RS16930		WP_011863583.1	WP_011863583.1		PF11341
glycogen-debranching protein	metabolic process // glycogen metabolic process // carbohydrate metabolic process		"isoamylase activity // hydrolase activity, acting on glycosyl bonds // hydrolase activity // hydrolase activity, hydrolyzing O-glycosyl compounds // catalytic activity"	P9301_RS16260		WP_011863436.1	WP_011863436.1		PF02922
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			lyase activity // catalytic activity	P9301_RS17945		WP_011863765.1	WP_011863765.1		PF06838
"Cobyrinic acid a,c-diamide synthase"				cobB	"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)"	WP_011863129.1	WP_011863129.1		PF13500
chlorophyll <i>a/b</i>-binding light harvesting protein PcbA				pcbA		WP_011818131.1	WP_011818131.1		PF00421
HEAT repeat domain-containing protein				P9301_RS16965		WP_011863590.1	WP_011863590.1		PF13646
phosphate ABC transporter substrate-binding protein PstS	phosphate ion transmembrane transport // phosphate ion transport	ATP-binding cassette (ABC) transporter complex	phosphate ion binding	pstS		WP_011862755.1	WP_011862755.1		PF12849
rhomboid family intramembrane serine protease	proteolysis	integral component of membrane // membrane	serine-type endopeptidase activity	P9301_RS15485		WP_011863291.1	WP_011863291.1		PF01694
ribosome silencing factor	negative regulation of ribosome biogenesis // mature ribosome assembly // negative regulation of translation // regulation of translation	cytoplasm		rsfS		WP_011863011.1	WP_011863011.1		PF02410
DUF2854 domain-containing protein		integral component of membrane // membrane		P9301_RS11655		WP_011862520.1	WP_011862520.1		PF11016
hypothetical protein				P9301_RS16660		WP_144038821.1	WP_144038821.1		
Light dependent protochlorophyllide oxido-reductase				por	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)"	WP_011862561.1	WP_011862561.1		PF00106
glycosyltransferase family 39 protein		integral component of membrane // membrane	transferase activity	P9301_RS15590		WP_011863311.1	WP_011863311.1		PF13231
hexameric carboxysome shell protein CsoS4B				csoS4B		WP_011862571.1	WP_011862571.1		PF03319
Geranylgeranyl hydrogenase ChlP				chlP	phytyl diphosphate biosynthesis	WP_011862797.1	WP_011862797.1		PF01494
ribosome-associated translation inhibitor RaiA	primary metabolic process // regulation of translation	cytoplasm		raiA		WP_011862425.1	WP_011862425.1		PF02482
AI-2E family transporter		integral component of membrane // membrane		P9301_RS13555		WP_011862903.1	WP_011862903.1		PF01594
hypothetical protein				P9301_RS14290		WP_041484765.1	WP_041484765.1		
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	tRNA processing // proteolysis // tRNA threonylcarbamoyladenosine modification	cytoplasm	"N(6)-L-threonylcarbamoyladenine synthase activity // metal ion binding // transferase activity, transferring acyl groups other than amino-acyl groups // transferase activity, transferring acyl groups // transferase activity // iron ion binding // metalloendopeptidase activity"	tsaD	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	WP_011862491.1	WP_011862491.1		PF00814
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rRNA base methylation // methylation // tRNA methylation // tRNA processing // rRNA processing	cytoplasm	"rRNA (adenine-C2-)-methyltransferase activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // rRNA binding // transferase activity // RNA methyltransferase activity // methyltransferase activity // catalytic activity // tRNA (adenine-C2-)-methyltransferase activity // tRNA binding"	rlmN		WP_011863592.1	WP_011863592.1		PF04055
hypothetical protein		integral component of membrane // membrane		P9301_RS12765		WP_011862742.1	WP_011862742.1		
CinA-like protein				cinA		WP_011862298.1	WP_011862298.1		PF00994
hypothetical protein		integral component of membrane // membrane		P9301_RS10355		WP_011862280.1	WP_011862280.1		
Possible Nucleoside diphosphate kinase	phosphorylation	integral component of membrane // membrane	kinase activity	P9301_RS14025		WP_011862996.1	WP_011862996.1		
DNA gyrase B subunit	DNA topological change // DNA-dependent DNA replication	cytoplasm // chromosome	"metal ion binding // isomerase activity // ATP binding // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity // DNA topoisomerase activity // DNA binding // nucleotide binding"	gyrB		WP_011863733.1	WP_011863733.1		PF02518
BolA family transcriptional regulator				P9301_RS14890		WP_011863167.1	WP_011863167.1		PF01722
diacylglycerol kinase family protein	phosphorylation // phospholipid biosynthetic process // lipid biosynthetic process	integral component of membrane // membrane	transferase activity // kinase activity // diacylglycerol kinase activity	P9301_RS10080		WP_011862228.1	WP_011862228.1		PF01219
DUF309 domain-containing protein				P9301_RS13045		WP_011862800.1	WP_011862800.1		PF03745
hypothetical protein				P9301_RS12445		WP_011862674.1	WP_011862674.1		
hypothetical protein				P9301_RS12300		WP_011862645.1	WP_011862645.1		
cytochrome b6	respiratory electron transport chain // photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid	"metal ion binding // electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity // oxidoreductase activity // electron transfer activity"	petB		WP_011817812.1	WP_011817812.1		PF00033
threonine--tRNA ligase	tRNA aminoacylation // threonyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	metal ion binding // ligase activity // ATP binding // threonine-tRNA ligase activity // aminoacyl-tRNA ligase activity // RNA binding // nucleotide binding // tRNA binding	thrS	tRNA charging	WP_011862613.1	WP_011862613.1		PF02824
DNA recombination/repair protein RecA									
hypothetical protein		integral component of membrane // membrane		P9301_RS12500		WP_011862684.1	WP_011862684.1		
hypothetical protein				P9301_RS15245		WP_011863245.1	WP_011863245.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS12095		WP_011862604.1	WP_011862604.1		PF10726
high light inducible protein		integral component of membrane // membrane		hli3		WP_011863593.1	WP_011863593.1		
hypothetical protein				P9301_RS14335		WP_011863059.1	WP_011863059.1		
cytochrome b6-f complex subunit IV	photosynthesis // photosynthetic electron transport chain	thylakoid membrane // integral component of membrane // membrane // thylakoid	"electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity // electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity // oxidoreductase activity // electron transfer activity"	petD	oxygenic photosynthesis // photosynthesis light reactions	WP_002808353.1	WP_002808353.1		PF00032
DUF2811 domain-containing protein				P9301_RS12390		WP_011862663.1	WP_011862663.1		PF10929
1-acyl-sn-glycerol-3-phosphate acyltransferase				plsC	CDP-diacylglycerol biosynthesis I // oleate biosynthesis III (cyanobacteria) // CDP-diacylglycerol biosynthesis III	WP_011862183.1	WP_011862183.1		PF01553
PglD_N domain-containing protein				P9301_RS15750		WP_011863341.1	WP_011863341.1		PF17836
D-alanyl-D-alanine carboxypeptidase family protein				P9301_RS13035		WP_041484680.1	WP_041484680.1		PF02557
DUF98 domain-containing protein			lyase activity	P9301_RS17975		WP_041484786.1	WP_041484786.1		PF01947
hypothetical protein				P9301_RS13310		WP_011862853.1	WP_011862853.1		
membrane protein		integral component of membrane // membrane		terC		WP_011862993.1	WP_011862993.1		PF03741
hypothetical protein				P9301_RS11660		WP_041484744.1	WP_041484744.1		
hypothetical protein				P9301_RS18140		WP_041484735.1	WP_041484735.1		
carotene isomerase	carotenoid biosynthetic process		carotenoid isomerase activity // isomerase activity // oxidoreductase activity	crtH	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	WP_011863172.1	WP_011863172.1		PF01593
